,Unnamed: 0,Customers,StoreType,CompetitionDistance,Store,Promo,Promo2SinceWeek,CompetitionOpenSinceYear,Assortment,CompetitionOpenSinceMonth,DayOfWeek,Sales
0,0,0,3,5350,1115,0,22,1900,2,1,2,0
1,1,0,3,6630,379,0,1,1900,0,1,2,0
2,2,0,0,2140,378,0,1,2012,2,8,2,0
3,3,0,0,100,377,0,18,2010,2,6,2,0
4,4,0,0,160,376,0,1,2012,0,8,2,0
5,5,0,0,15710,375,0,37,2013,2,2,2,0
6,6,0,0,1150,374,0,1,2007,0,9,2,0
7,7,0,3,11120,373,0,22,1900,2,1,2,0
8,8,0,3,4880,372,0,18,2010,2,8,2,0
9,9,0,3,1970,371,0,45,2009,2,7,2,0
10,10,0,3,8250,370,0,31,2000,0,10,2,0
11,11,0,3,5870,369,0,1,2014,2,4,2,0
12,12,0,3,1450,368,0,45,2005,2,4,2,0
13,13,0,3,2640,367,0,1,2012,2,9,2,0
14,14,0,3,6470,366,0,1,2004,2,12,2,0
15,15,0,0,2240,380,0,10,2013,0,5,2,0
16,16,0,2,2410,365,0,45,1900,0,1,2,0
17,17,0,0,250,363,0,1,2009,0,9,2,0
18,18,0,2,340,362,0,1,1900,2,1,2,0
19,19,0,2,4490,361,0,5,2014,2,5,2,0
20,20,0,0,2040,360,0,1,2007,0,6,2,0
21,21,0,3,4370,359,0,1,1900,2,1,2,0
22,22,0,0,2890,358,0,1,2003,0,10,2,0
23,23,0,0,2060,357,0,1,2008,0,10,2,0
24,24,0,3,8970,356,0,22,2007,2,12,2,0
25,25,0,0,9720,355,0,1,2013,2,8,2,0
26,26,0,3,1500,354,0,1,2005,2,10,2,0
27,27,820,1,900,353,0,14,1900,1,1,2,3139
28,28,0,3,6360,352,0,40,1900,2,1,2,0
29,29,0,0,5290,351,0,5,2012,0,11,2,0
30,30,0,3,8880,350,0,14,1900,0,1,2,0
31,31,0,0,13620,364,0,10,1900,2,1,2,0
32,32,0,0,1800,381,0,5,2006,0,11,2,0
33,33,0,2,26130,382,0,1,2002,2,11,2,0
34,34,0,0,350,383,0,1,1900,2,1,2,0
35,35,0,3,6210,414,0,1,1900,2,1,2,0
36,36,0,0,760,413,0,1,2014,2,9,2,0
37,37,0,3,4460,412,0,39,1900,2,1,2,0
38,38,0,3,8460,411,0,1,1900,2,1,2,0
39,39,0,2,40,410,0,22,2011,0,11,2,0
40,40,0,3,840,409,0,1,1900,2,1,2,0
41,41,0,2,1560,408,0,45,1900,0,1,2,0
42,42,0,0,5890,407,0,14,2003,0,10,2,0
43,43,0,3,8240,406,0,10,2001,2,3,2,0
44,44,0,0,1080,405,0,14,2008,0,4,2,0
45,45,0,0,1420,404,0,10,1900,2,1,2,0
46,46,0,0,4970,403,0,1,2015,0,7,2,0
47,47,0,2,5830,402,0,13,2011,2,9,2,0
48,48,0,0,9200,401,0,14,2009,2,10,2,0
49,49,0,0,70,400,0,14,2004,0,11,2,0
50,50,0,0,5360,399,0,40,2012,0,9,2,0
51,51,0,2,1540,398,0,1,1900,2,1,2,0
52,52,0,0,130,384,0,14,1900,2,1,2,0
53,53,0,3,4580,385,0,1,2007,0,9,2,0
54,54,0,3,1460,386,0,31,2014,2,4,2,0
55,55,0,2,210,387,0,36,1900,0,1,2,0
56,56,0,0,2260,388,0,1,1900,0,1,2,0
57,57,0,0,6690,389,0,1,2011,2,8,2,0
58,58,0,2,1490,349,0,1,2009,2,4,2,0
59,59,0,0,1600,390,0,1,2009,2,4,2,0
60,60,0,0,2120,392,0,1,1900,0,1,2,0
61,61,0,3,4820,393,0,1,2008,2,3,2,0
62,62,0,3,10850,394,0,1,1900,0,1,2,0
63,63,0,0,3620,395,0,1,2013,0,2,2,0
64,64,0,0,23130,396,0,1,1900,2,1,2,0
65,65,0,0,130,397,0,27,1900,2,1,2,0
66,66,0,0,460,391,0,31,2014,0,11,2,0
67,67,0,0,16490,348,0,22,1900,0,1,2,0
68,68,0,3,9360,347,0,22,2013,2,7,2,0
69,69,0,0,8090,346,0,1,1900,2,1,2,0
70,70,0,0,2290,310,0,10,1900,2,1,2,0
71,71,0,3,8740,309,0,37,1900,0,1,2,0
72,72,0,0,1070,308,0,13,2006,0,12,2,0
73,73,0,0,18660,307,0,1,2002,0,9,2,0
74,74,0,0,5100,306,0,40,2007,0,4,2,0
75,75,0,2,2470,305,0,31,2005,2,2,2,0
76,76,0,0,1950,304,0,1,2015,0,7,2,0
77,77,0,0,15430,303,0,18,2012,0,11,2,0
78,78,0,3,2190,302,0,9,2007,2,12,2,0
79,79,0,0,4510,301,0,1,2015,2,3,2,0
80,80,0,0,120,300,0,1,2009,2,4,2,0
81,81,0,3,38630,299,0,1,2012,2,9,2,0
82,82,0,3,19840,298,0,1,2009,0,7,2,0
83,83,0,0,2300,297,0,1,2010,0,9,2,0
84,84,0,0,9580,296,0,45,2007,0,5,2,0
85,85,0,0,210,295,0,36,2000,0,11,2,0
86,86,0,0,3150,294,0,1,2005,0,5,2,0
87,87,0,3,18640,280,0,10,2013,2,9,2,0
88,88,0,3,6970,281,0,1,2011,2,9,2,0
89,89,0,0,1220,282,0,1,2010,0,12,2,0
90,90,0,0,2260,283,0,40,1900,0,1,2,0
91,91,0,3,1290,284,0,40,1900,0,1,2,0
92,92,0,0,2410,285,0,1,1900,0,1,2,0
93,93,0,0,680,311,0,1,2005,2,7,2,0
94,94,0,0,1460,286,0,1,2015,0,4,2,0
95,95,0,3,800,288,0,14,1900,0,1,2,0
96,96,0,3,6540,289,0,1,2007,0,12,2,0
97,97,0,0,4150,290,0,1,2001,0,5,2,0
98,98,0,3,0,291,0,1,1900,0,1,2,0
99,99,0,0,1100,292,0,1,2009,0,6,2,0
100,100,0,2,140,293,0,1,2007,2,11,2,0
101,101,0,2,2740,287,0,40,2009,0,5,2,0
102,102,0,3,6910,415,0,1,2005,2,4,2,0
103,103,0,3,11300,312,0,1,2012,0,3,2,0
104,104,0,0,3560,314,0,31,2001,0,10,2,0
105,105,0,0,120,345,0,22,1900,0,1,2,0
106,106,0,0,300,344,0,14,2011,2,4,2,0
107,107,0,3,18650,343,0,14,2004,0,4,2,0
108,108,0,3,15770,342,0,40,1900,2,1,2,0
109,109,0,0,190,341,0,1,2011,0,9,2,0
110,110,0,0,8080,340,0,1,1900,2,1,2,0
111,111,0,0,2280,339,0,10,1900,2,1,2,0
112,112,0,0,1590,338,0,37,1900,2,1,2,0
113,113,0,3,10600,337,0,45,2005,2,7,2,0
114,114,0,0,190,336,0,1,2014,0,7,2,0
115,115,482,1,90,335,0,31,1900,0,1,2,2401
116,116,0,3,4040,334,0,18,2008,2,8,2,0
117,117,0,0,3720,333,0,1,2010,2,2,2,0
118,118,0,0,1840,332,0,1,2006,0,3,2,0
119,119,0,0,670,331,0,14,1900,2,1,2,0
120,120,0,0,370,330,0,22,1900,2,1,2,0
121,121,0,0,1310,329,0,22,1990,0,6,2,0
122,122,0,0,38710,315,0,1,2013,2,4,2,0
123,123,0,3,9000,316,0,1,2001,0,8,2,0
124,124,0,3,3140,317,0,14,2013,0,7,2,0
125,125,0,3,32330,318,0,1,2014,2,3,2,0
126,126,0,0,570,319,0,27,2012,2,9,2,0
127,127,0,0,210,320,0,1,2012,2,9,2,0
128,128,0,3,14160,313,0,1,1900,2,1,2,0
129,129,0,2,8140,321,0,10,2013,2,11,2,0
130,130,0,3,8400,323,0,5,2012,2,4,2,0
131,131,0,0,13140,324,0,14,1900,0,1,2,0
132,132,0,0,350,325,0,22,2011,2,3,2,0
133,133,0,3,10070,326,0,31,2015,0,5,2,0
134,134,0,2,1390,327,0,1,2004,2,12,2,0
135,135,0,0,3130,328,0,1,2002,0,7,2,0
136,136,0,0,17500,322,0,37,2001,0,4,2,0
137,137,0,0,4650,416,0,1,2014,2,6,2,0
138,138,0,0,840,417,0,10,1900,2,1,2,0
139,139,0,0,1060,418,0,27,2009,0,5,2,0
140,140,0,2,2510,519,0,1,2009,2,8,2,0
141,141,0,3,3330,518,0,13,2015,2,3,2,0
142,142,0,0,22490,517,0,1,1900,2,1,2,0
143,143,0,0,20,516,0,35,1900,2,1,2,0
144,144,0,3,11260,515,0,9,1900,2,1,2,0
145,145,0,2,1200,514,0,27,2012,2,7,2,0
146,146,0,0,400,513,0,1,2013,0,8,2,0
147,147,625,1,590,512,0,5,1900,1,1,2,2646
148,148,0,0,2060,511,0,1,2009,0,9,2,0
149,149,0,0,8260,510,0,1,1900,2,1,2,0
150,150,0,0,4740,509,0,37,2008,0,7,2,0
151,151,0,0,1280,508,0,40,1900,2,1,2,0
152,152,0,0,9070,507,0,37,2011,2,4,2,0
153,153,0,0,1850,506,0,18,2014,0,12,2,0
154,154,0,0,350,505,0,5,1900,0,1,2,0
155,155,0,2,820,504,0,1,1900,2,1,2,0
156,156,0,3,13080,503,0,14,2006,2,9,2,0
157,157,0,0,14960,489,0,37,2013,0,11,2,0
158,158,0,0,660,490,0,40,2013,0,4,2,0
159,159,0,3,4680,491,0,22,1900,2,1,2,0
160,160,0,0,1740,492,0,40,2008,0,3,2,0
161,161,0,3,1150,493,0,14,1900,2,1,2,0
162,162,527,1,1260,494,0,1,2011,0,6,2,3113
163,163,0,0,6900,520,0,40,1900,2,1,2,0
164,164,0,3,5470,495,0,37,1900,0,1,2,0
165,165,0,0,1610,497,0,1,1900,2,1,2,0
166,166,0,0,990,498,0,40,1900,0,1,2,0
167,167,0,2,450,499,0,5,1900,2,1,2,0
168,168,0,3,10690,500,0,5,2007,2,9,2,0
169,169,0,0,1620,501,0,1,2006,2,9,2,0
170,170,0,0,220,502,0,37,2002,0,2,2,0
171,171,0,3,2780,496,0,1,2015,2,6,2,0
172,172,0,0,2890,488,0,1,2014,2,4,2,0
